"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges"
"OxkpNYVe9ZiXg","skyes pa'i pha ma","པ་ལགས་ དང་ ཨ་མ་ ལགས་",4,"ཁྱེད་རང་ གི་ པ་ལགས་ དང་ ཨ་མ་ ལགས་",3,8,FALSE,"i",NA,FALSE,"S",TRUE,FALSE,FALSE,9,FALSE,FALSE
"xQNu8WD8cqU","nag chu","ནག་ཆུ ར་ བཞུགས་ ཡོད་ རེད་ པས །",5,"ནག་ཆུ ར་",9,10,FALSE,"i",NA,FALSE,"E",FALSE,FALSE,FALSE,3,FALSE,FALSE
"ebO0uf3efwk","skyes pa","ལྟ་ # ང ས་ ཟེར་ ན་ ཁྱེད་ ལྷ་ས ར་ ཁང་པ་ ཞིག་ གཟིགས །",14,"ཁྱེད་",55,55,TRUE,"i",NA,FALSE,"A",TRUE,FALSE,TRUE,1,TRUE,FALSE
"jera5DFWvw6","lha sa'i khang pa","ལྟ་ # ང ས་ ཟེར་ ན་ ཁྱེད་ ལྷ་ས ར་ ཁང་པ་ ཞིག་ གཟིགས །",14,"ཁང་པ་ ཞིག་",58,59,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE
"PsRgWtEl9Kw","skyes pa","ཁྱེད་རང་ ད་དུང་ པ་ལགས་ དང་ ཨ་མ་ ལགས་ བྱས །",26,"ཁྱེད་རང་",124,124,TRUE,"i",NA,FALSE,"COPLOC",TRUE,FALSE,TRUE,2,TRUE,FALSE
"wuoEWI0kVjLKR","pa lags a ma lags dang gcung mo","གཅུང་མོ་ ཡོད་ མ་ རེད་ པས །",27,"པ་ལགས་ དང་ ཨ་མ་ ལགས་ བྱས ། གཅུང་མོ་",126,132,FALSE,"i",NA,FALSE,"EXIST",TRUE,FALSE,FALSE,10,FALSE,TRUE
"esu45FG2IW4","phun don gyi nang mi","ཕུན་དོན་ ཁོང་ ཚོ་ ཁང་པ་ ཟེར་ ཡ་ ཅིག་ བཙོང་ གི་ ཡོད་ ཟེར་བ་ རེད་ པ །",38,"ཕུན་དོན་ ཁོང་ ཚོ་",174,176,FALSE,"i",NA,FALSE,"A",TRUE,FALSE,FALSE,4,FALSE,FALSE
"NVvUO9RcnZr","khang pa","ཕུན་དོན་ ཁོང་ ཚོ་ ཁང་པ་ ཟེར་ ཡ་ ཅིག་ བཙོང་ གི་ ཡོད་ ཟེར་བ་ རེད་ པ །",38,"ཁང་པ་ ཟེར་ ཡ་ ཅིག་",177,180,FALSE,"n",NA,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE,FALSE
"fmh5ZdKlDZz","skyes pa","ཁྱེད་རང་ དུས་ཚོད་ ཡོད་ ན་ <0> <0> <0> <0> གཟིགས་ གར་ གཅིག་ འཐད་ ན །",47,"ཁྱེད་རང་",213,213,TRUE,"i",NA,FALSE,"COPLOC",TRUE,FALSE,TRUE,2,TRUE,FALSE
"ytxXTEALdjD","dus tshod gtong pa (khang pa gzigs)","ཁྱེད་རང་ དུས་ཚོད་ ཡོད་ ན་ <0> <0> <0> <0> གཟིགས་ གར་ གཅིག་ འཐད་ ན །",47,"དུས་ཚོད་",214,214,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE
"p9JNiys9H0B","skyes pa'i pha ma","པ་ལགས་ དང་ ཨ་མ་ ལགས་ ཁོང་ ཚོ་ ལྷ་ས ར་ ཨས་་ ཁང་པ་ ལ་ གཟིགས་ བྱས་ <0> <0> བཞུགས །",59,"པ་ལགས་ དང་ ཨ་མ་ ལགས་ ཁོང་ ཚོ་",270,275,FALSE,"i",NA,FALSE,"A",TRUE,FALSE,FALSE,8,FALSE,FALSE
"hC2rI7ndLKV","khang pa","པ་ལགས་ དང་ ཨ་མ་ ལགས་ ཁོང་ ཚོ་ ལྷ་ས ར་ ཨས་་ ཁང་པ་ ལ་ གཟིགས་ བྱས་ <0> <0> བཞུགས །",59,"ཁང་པ་ ལ་",279,280,FALSE,"i",NA,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE
"cnmbAoNnCva","sku gzugs","སྐུ་གཟུགས་ སྐུ་གཟུགས་ སྣང་དག་ མི་ འདུག",80,"སྐུ་གཟུགས་ སྐུ་གཟུགས་",384,385,FALSE,"i",NA,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,FALSE,FALSE
"UlDZl3jyF7D","snang dag","སྐུ་གཟུགས་ སྐུ་གཟུགས་ སྣང་དག་ མི་ འདུག",80,"སྣང་དག་",386,386,FALSE,"n",NA,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE
